Pair_id(numberOfIntersections), sx, sy, sz, dx, dy, dz, x, y, z, t, triId
26(5),22.1, 10.56, 4.901,24.18, -1.775, 21.299,46.2599, 8.78647, 26.1823, 0.99917,41
26(5),22.1, 10.56, 4.901,24.18, -1.775, 21.299,46.2799, 8.785, 26.1999, 0.999997,114
27(2),-30.14, 0.07523, 33.14,44.48, 13.9748, -13.66,-22.0288, 2.6236, 30.649, 0.182355,513
27(2),-30.14, 0.07523, 33.14,44.48, 13.9748, -13.66,-10.2003, 6.3399, 27.0164, 0.448284,512
28(1),-30.14, 0.07523, 33.14,18.52, 13.4148, -16.15,-11.6686, 13.4548, 17.0323, 0.997378,727
29(4),-30.14, 0.07523, 33.14,3.32, 2.25677, -72.08,-29.3991, 0.578879, 17.0537, 0.223172,728
29(4),-30.14, 0.07523, 33.14,3.32, 2.25677, -72.08,-29.0791, 0.796392, 10.1065, 0.319555,735
29(4),-30.14, 0.07523, 33.14,3.32, 2.25677, -72.08,-27.4635, 1.89461, -24.9701, 0.806188,1358
29(4),-30.14, 0.07523, 33.14,3.32, 2.25677, -72.08,-27.1746, 2.09095, -31.241, 0.893188,1353
30(2),-30.14, 0.07523, 33.14,35.124, 2.45677, -71.88,-22.2753, 0.625333, 17.0451, 0.223913,727
30(2),-30.14, 0.07523, 33.14,35.124, 2.45677, -71.88,-11.3109, 1.39224, -5.39313, 0.536076,729
31(6),-30.14, 0.07523, 33.14,82.98, 20.7148, -36.079,-22.0358, 2.09833, 29.6164, 0.0976646,513
31(6),-30.14, 0.07523, 33.14,82.98, 20.7148, -36.079,-16.1339, 3.57165, 27.0503, 0.168789,511
31(6),-30.14, 0.07523, 33.14,82.98, 20.7148, -36.079,14.583, 11.2397, 13.6948, 0.538961,269
31(6),-30.14, 0.07523, 33.14,82.98, 20.7148, -36.079,23.0809, 13.3611, 10, 0.64137,289
31(6),-30.14, 0.07523, 33.14,82.98, 20.7148, -36.079,23.0772, 13.3601, 10.0016, 0.641325,267
31(6),-30.14, 0.07523, 33.14,82.98, 20.7148, -36.079,33.3086, 15.9143, 5.5531, 0.764625,292
32(2),-30.14, 0.07523, 33.14,36.688, 16.9848, -51.81,-18.7398, 5.35298, 17.0409, 0.310734,727
